card_no,bird_name,search_key,audio_file,audio_path,clip_index,clip_type,is_main,source_id,file_size_bytes
100,Willet,willet,100_Willet_48808_1_call.m4a,src/AudioClip/100_Willet_48808_1_call.m4a,1,call,false,48808,2626
100,Willet,willet,100_Willet_48808_2_call.m4a,src/AudioClip/100_Willet_48808_2_call.m4a,2,call,false,48808,3054
100,Willet,willet,100_Willet_48808_3_song.m4a,src/AudioClip/100_Willet_48808_3_song.m4a,3,song,false,48808,8988
100,Willet,willet,100_Willet_48808_4_song_main.m4a,src/AudioClip/100_Willet_48808_4_song_main.m4a,4,song,true,48808,32766
101,Anhinga,anhinga,101_Anhinga_136256_1_call.m4a,src/AudioClip/101_Anhinga_136256_1_call.m4a,1,call,false,136256,4840
101,Anhinga,anhinga,101_Anhinga_136256_2_song.m4a,src/AudioClip/101_Anhinga_136256_2_song.m4a,2,song,false,136256,17714
101,Anhinga,anhinga,101_Anhinga_136256_2_song_main.m4a,src/AudioClip/101_Anhinga_136256_2_song_main.m4a,2,song,true,136256,45177
102,Snowy Egret,snowyegret,102_Snowy_Egret_45490_1_call.m4a,src/AudioClip/102_Snowy_Egret_45490_1_call.m4a,1,call,false,45490,3380
102,Snowy Egret,snowyegret,102_Snowy_Egret_45490_2_call.m4a,src/AudioClip/102_Snowy_Egret_45490_2_call.m4a,2,call,false,45490,4918
102,Snowy Egret,snowyegret,102_Snowy_Egret_45490_3_call.m4a,src/AudioClip/102_Snowy_Egret_45490_3_call.m4a,3,call,false,45490,3786
102,Snowy Egret,snowyegret,102_Snowy_Egret_45490_4_call_main.m4a,src/AudioClip/102_Snowy_Egret_45490_4_call_main.m4a,4,call,true,45490,36123
103,White Faced Ibis,whitefacedibis,103_White_Faced_Ibis_45304_1_call.m4a,src/AudioClip/103_White_Faced_Ibis_45304_1_call.m4a,1,call,false,45304,4006
103,White Faced Ibis,whitefacedibis,103_White_Faced_Ibis_45304_2_call.m4a,src/AudioClip/103_White_Faced_Ibis_45304_2_call.m4a,2,call,false,45304,4191
103,White Faced Ibis,whitefacedibis,103_White_Faced_Ibis_45304_3_call.m4a,src/AudioClip/103_White_Faced_Ibis_45304_3_call.m4a,3,call,false,45304,10515
103,White Faced Ibis,whitefacedibis,103_White_Faced_Ibis_45304_4_call_main.m4a,src/AudioClip/103_White_Faced_Ibis_45304_4_call_main.m4a,4,call,true,45304,36309
104,Black Skimmer,blackskimmer,104_Black_Skimmer_179806_1_call.m4a,src/AudioClip/104_Black_Skimmer_179806_1_call.m4a,1,call,false,179806,3124
104,Black Skimmer,blackskimmer,104_Black_Skimmer_179806_2_call.m4a,src/AudioClip/104_Black_Skimmer_179806_2_call.m4a,2,call,false,179806,3285
104,Black Skimmer,blackskimmer,104_Black_Skimmer_179806_3_song.m4a,src/AudioClip/104_Black_Skimmer_179806_3_song.m4a,3,song,false,179806,15613
