file_name,card_no,bird_name,vo_id,transcript,duration_seconds,detected_language,language_probability,error,bird_audio_bird_name,bird_audio_clip_count,bird_audio_clip_files,bird_audio_main_files
100_Willet_VO_1.wav,100,Willet,1,Willet's feed during the day and the night.,3.044,en,1.000000,,Willet,4,src/AudioClip/100_Willet_48808_1_call.m4a|src/AudioClip/100_Willet_48808_2_call.m4a|src/AudioClip/100_Willet_48808_3_song.m4a|src/AudioClip/100_Willet_48808_4_song_main.m4a,src/AudioClip/100_Willet_48808_4_song_main.m4a
101_Anhinga_VO_13.wav,101,Anhinga,13,"On Anhinga, this bird is called Snakebird. It swims with only head and neck above water.",5.897,en,1.000000,,Anhinga,3,src/AudioClip/101_Anhinga_136256_1_call.m4a|src/AudioClip/101_Anhinga_136256_2_song.m4a|src/AudioClip/101_Anhinga_136256_2_song_main.m4a,src/AudioClip/101_Anhinga_136256_2_song_main.m4a
102_Snowy_Egret_VO_3.wav,102,Snowy Egret,3,"Snowy Egret. In the 1880s, these birds' wispy plumes were literally worth their weight in gold.",7.026,en,1.000000,,Snowy Egret,4,src/AudioClip/102_Snowy_Egret_45490_1_call.m4a|src/AudioClip/102_Snowy_Egret_45490_2_call.m4a|src/AudioClip/102_Snowy_Egret_45490_3_call.m4a|src/AudioClip/102_Snowy_Egret_45490_4_call_main.m4a,src/AudioClip/102_Snowy_Egret_45490_4_call_main.m4a
103_White_Faced_Ibis_VO_1.wav,103,White Faced Ibis,1,White Faced Ibis. White Faced Ibises nest in colonies with herons and egrets.,5.320,en,1.000000,,White Faced Ibis,4,src/AudioClip/103_White_Faced_Ibis_45304_1_call.m4a|src/AudioClip/103_White_Faced_Ibis_45304_2_call.m4a|src/AudioClip/103_White_Faced_Ibis_45304_3_call.m4a|src/AudioClip/103_White_Faced_Ibis_45304_4_call_main.m4a,src/AudioClip/103_White_Faced_Ibis_45304_4_call_main.m4a
104_Black_Skimmer_VO_1.wav,104,Black Skimmer,1,Black Skimmer. Skimmers plow the water with their beaks snapping shut when they hit a fish.,5.260,en,1.000000,,Black Skimmer,4,src/AudioClip/104_Black_Skimmer_179806_1_call.m4a|src/AudioClip/104_Black_Skimmer_179806_2_call.m4a|src/AudioClip/104_Black_Skimmer_179806_3_song.m4a|src/AudioClip/104_Black_Skimmer_179806_4_song_main.m4a,src/AudioClip/104_Black_Skimmer_179806_4_song_main.m4a
105_Eastern_Screech_Owl_VO_1.wav,105,Eastern Screech Owl,1,"Eastern Screech Owl. These owls live near humans, but because they're small and nocturnal, they're rarely seen.",6.630,en,1.000000,,Eastern Screech Owl,4,src/AudioClip/105_Eastern_Screech_Owl_100707_1_song.m4a|src/AudioClip/105_Eastern_Screech_Owl_100707_2_song.m4a|src/AudioClip/105_Eastern_Screech_Owl_100707_3_song.m4a|src/AudioClip/105_Eastern_Screech_Owl_100707_4_song_main.m4a,src/AudioClip/105_Eastern_Screech_Owl_100707_4_song_main.m4a
106_mississippi_kite_VO_2.wav,106,mississippi kite,2,"Mississippi kite. These birds mostly eat large insects, but they'll also eat rodents, bats, and birds.",7.332,en,1.000000,,Mississippi Kite,4,src/AudioClip/106_Mississippi_Kite_85596_1_call.m4a|src/AudioClip/106_Mississippi_Kite_85596_2_call.m4a|src/AudioClip/106_Mississippi_Kite_85596_3_call.m4a|src/AudioClip/106_Mississippi_Kite_85596_4_main_call.m4a,src/AudioClip/106_Mississippi_Kite_85596_4_main_call.m4a
107_Ferruginous_Hawk_VO_1.wav,107,Ferruginous Hawk,1,Ferruginous Hawk. These rust-colored birds sometimes hunt in groups in prairie dog towns.,5.485,en,1.000000,,Ferruginous Hawk,4,src/AudioClip/107_Ferruginous_Hawk_172487_1_song.m4a|src/AudioClip/107_Ferruginous_Hawk_172487_2_song.m4a|src/AudioClip/107_Ferruginous_Hawk_172487_3_song.m4a|src/AudioClip/107_Ferruginous_Hawk_172487_4_song_main.m4a,src/AudioClip/107_Ferruginous_Hawk_172487_4_song_main.m4a
108_American_Kestrel_VO_1.wav,108,American Kestrel,1,"My name is Hong Sun. My name is Hong Sun, and I am the director of the American Kestrel Foundation. I am the director of the American Kestrel Foundation.",8.634,en,1.000000,,American Kestrel,4,src/AudioClip/108_American_Kestrel_107973_1_song.m4a|src/AudioClip/108_American_Kestrel_107973_2_song.m4a|src/AudioClip/108_American_Kestrel_107973_3_call.m4a|src/AudioClip/108_American_Kestrel_107973_4_song_main.m4a,src/AudioClip/108_American_Kestrel_107973_4_song_main.m4a
108_American_Kestrel_VO_3.wav,108,American Kestrel,3,American Kestrel. Kestrels track rodents by their urine and will cash surplus kills for later.,6.418,en,1.000000,,American Kestrel,4,src/AudioClip/108_American_Kestrel_107973_1_song.m4a|src/AudioClip/108_American_Kestrel_107973_2_song.m4a|src/AudioClip/108_American_Kestrel_107973_3_call.m4a|src/AudioClip/108_American_Kestrel_107973_4_song_main.m4a,src/AudioClip/108_American_Kestrel_107973_4_song_main.m4a
